Date,Open,High,Low,Close,AdjClose
"Oct 1, 1999","1,759.77","1,870.94","1,711.77","1,870.94","1,870.94"
"Sep 1, 1999","1,824.20","1,860.15","1,739.92","1,759.59","1,759.59"
"Aug 1, 1999","1,817.27","1,892.87","1,754.33","1,809.19","1,809.19"
"Jul 1, 1999","1,888.15","1,940.76","1,818.18","1,818.18","1,818.18"
"Jun 1, 1999","1,767.80","1,876.78","1,767.80","1,876.78","1,876.78"
"May 1, 1999","1,847.63","1,866.87","1,750.19","1,778.10","1,778.10"
"Apr 1, 1999","1,763.31","1,858.29","1,758.19","1,821.11","1,821.11"
"Mar 1, 1999","1,682.86","1,793.85","1,668.37","1,753.21","1,753.21"
"Feb 1, 1999","1,730.81","1,731.32","1,654.24","1,685.77","1,685.77"
"Jan 1, 1999","1,668.52","1,739.84","1,647.57","1,739.84","1,739.84"
"Dec 1, 1998","1,594.87","1,687.03","1,549.63","1,670.01","1,670.01"
"Nov 1, 1998","1,506.31","1,617.95","1,505.32","1,579.02","1,579.02"
"Oct 1, 1998","1,335.36","1,488.78","1,299.44","1,488.78","1,488.78"
"Sep 1, 1998","1,343.94","1,442.66","1,316.81","1,376.79","1,376.79"
"Aug 1, 1998","1,501.53","1,501.53","1,293.90","1,293.90","1,293.90"
"Jul 1, 1998","1,548.77","1,601.08","1,512.59","1,512.59","1,512.59"
"Jun 1, 1998","1,469.46","1,535.01","1,451.65","1,528.87","1,528.87"
"May 1, 1998","1,507.33","1,508.77","1,469.19","1,469.19","1,469.19"
"Apr 1, 1998","1,488.70","1,519.62","1,458.73","1,494.89","1,494.89"
"Mar 1, 1998","1,405.73","1,484.92","1,389.27","1,480.00","1,480.00"
"Feb 1, 1998","1,341.32","1,407.90","1,341.32","1,407.90","1,407.90"
"Jan 1, 1998","1,305.04","1,320.16","1,242.10","1,313.19","1,313.19"
"Dec 1, 1997","1,302.82","1,315.28","1,247.75","1,298.82","1,298.82"
"Nov 1, 1997","1,252.96","1,286.69","1,209.82","1,276.89","1,276.89"
"Oct 1, 1997","1,273.51","1,310.60","1,169.69","1,220.40","1,220.40"
"Sep 1, 1997","1,234.44","1,272.95","1,215.41","1,262.56","1,262.56"
"Aug 1, 1997","1,258.59","1,276.25","1,197.01","1,197.01","1,197.01"
"Jul 1, 1997","1,182.57","1,268.05","1,182.57","1,268.05","1,268.05"
"Jun 1, 1997","1,121.69","1,192.24","1,113.69","1,174.59","1,174.59"
"May 1, 1997","1,056.13","1,125.72","1,056.13","1,124.22","1,124.22"
"Apr 1, 1997","1,003.33","1,059.70",974.94,"1,059.70","1,059.70"
