total_borrower_income,avg_annual_income,first_year_income,last_year_income,income_vs_target,initial_investment,total_payments_made,total_admin_costs,final_profit,total_return,cagr,prob_default,market_risk,insurance_needed,complexity_score,house_value,loan_duration,loan_amount
5728916.237166061,190963.87457220204,130491.19585781668,267038.14808484656,6.365462485740068,2400000.0,5728916.237166061,0,-1237791.3866389585,-0.515746411099566,-0.023881759820788995,0.0,0.0,False,1.0,3000000,30,2400000.0
3340832.6722983443,334083.26722983446,298198.59231113095,372409.179627892,11.136108907661148,2480000.0,3340832.6722983443,0,-120928.34997628216,-0.04876143144204926,-0.004986564317593034,0.0,0.0,False,1.0,3100000,10,2480000.0
3861213.1247641053,257414.20831760703,215326.17202776214,304250.2440457214,8.580473610586902,2480000.0,3861213.1247641053,0,-275903.9809169882,-0.11125160520846299,-0.007831909781898516,0.0,0.0,False,1.0,3100000,15,2480000.0
4457427.046705412,222871.35233527058,174495.47042190525,278957.21618491726,7.4290450778423525,2480000.0,4457427.046705412,0,-502113.0768016932,-0.2024649503232634,-0.011247740597155609,0.0,0.0,False,1.0,3100000,20,2480000.0
5139773.6584965205,205590.94633986082,150471.60781938897,272161.90173834295,6.853031544662027,2480000.0,5139773.6584965205,0,-825212.6794679255,-0.3327470481725506,-0.01605319433382335,0.0,0.0,False,1.0,3100000,25,2480000.0
5919880.111738264,197329.33705794212,134840.90238641057,275939.4196876748,6.57764456859807,2480000.0,5919880.111738264,0,-1279051.0995269238,-0.5157464110995661,-0.023881759820788995,0.0,0.0,False,1.0,3100000,30,2480000.0
3448601.4681789363,344860.1468178936,307817.9017405223,384422.37897072727,11.49533822726312,2560000.0,3448601.4681789363,0,-124829.26449164632,-0.04876143144204934,-0.004986564317593034,0.0,0.0,False,1.0,3200000,10,2560000.0
3985768.3868532698,265717.89245688467,222272.1775770448,314064.7680471963,8.857263081896155,2560000.0,3985768.3868532698,0,-284804.10933366534,-0.11125160520846303,-0.007831909781898516,0.0,0.0,False,1.0,3200000,15,2560000.0
4601215.015953974,230060.75079769868,180124.35656454734,287955.8360618501,7.668691693256623,2560000.0,4601215.015953974,0,-518310.2728275558,-0.20246495032326398,-0.011247740597155609,0.0,0.0,False,1.0,3200000,20,2560000.0
5305572.808770603,212222.9123508241,155325.5306522725,280941.3179234508,7.074097078360803,2560000.0,5305572.808770603,0,-851832.4433217293,-0.3327470481725505,-0.01605319433382335,0.0,0.0,False,1.0,3200000,25,2560000.0
6110843.986310467,203694.79954368222,139190.60891500447,284840.6912905031,6.789826651456075,2560000.0,6110843.986310467,0,-1320310.8124148874,-0.5157464110995654,-0.023881759820788884,0.0,0.0,False,1.0,3200000,30,2560000.0
3556370.2640595282,355637.0264059528,317437.2111699136,396435.57831356244,11.854567546865093,2640000.0,3556370.2640595282,0,-128730.17900701013,-0.048761431442049294,-0.004986564317593034,0.0,0.0,False,1.0,3300000,10,2640000.0
4110323.648942435,274021.57659616234,229218.1831263274,323879.29204867117,9.13405255320541,2640000.0,4110323.648942435,0,-293704.2377503433,-0.11125160520846336,-0.007831909781898516,0.0,0.0,False,1.0,3300000,15,2640000.0
4745002.985202535,237250.14926012675,185753.24270718943,296954.45593878283,7.908338308670892,2640000.0,4745002.985202535,0,-534507.4688534172,-0.2024649503232641,-0.011247740597155609,0.0,0.0,False,1.0,3300000,20,2640000.0
5471371.959044684,218854.87836178736,160179.453485156,289720.7341085586,7.2951626120595785,2640000.0,5471371.959044684,0,-878452.2071755328,-0.3327470481725503,-0.01605319433382324,0.0,0.0,False,1.0,3300000,25,2640000.0
6301807.860882669,210060.2620294223,143540.31544359835,293741.96289333125,7.002008734314077,2640000.0,6301807.860882669,0,-1361570.5253028565,-0.5157464110995669,-0.023881759820788995,0.0,0.0,False,1.0,3300000,30,2640000.0
3664139.0599401193,366413.9059940119,327056.52059930493,408448.7776563977,12.213796866467064,2720000.0,3664139.0599401193,0,-132631.093522374,-0.04876143144204926,-0.004986564317593034,0.0,0.0,False,1.0,3400000,10,2720000.0
