loan_type,house_value,loan_duration,annuity_duration,loan_amount,reinvest_fraction,mean_reinvestment,std_reinvestment,p10_reinvestment,p25_reinvestment,p50_reinvestment,p75_reinvestment,p90_reinvestment,mean_deficit,total_holiday_quarters,pct_quarters_holiday,mean_funder_earned,mean_funder_profit_share,mean_net_position,mean_cagr,xirr,prob_insurance_payout,mean_insurance_payout_npv,simulation_time_sec
Interest Only,6300000,20,25,5040000.0,0.8511904761904762,32013138.58,17189096.35811336,14115070.5,17923600.25,29032174.0,39875978.75,52607812.9,4214581.875,7822,0.965679012345679,379168.125,11379278.3525,11758446.4775,0.12265890983039118,0.028762706221989287,0.0,0.0,0.13172507286071777
Principal+Interest,6300000,20,25,5040000.0,0.8511904761904762,26960262.8,13566168.481900506,11382402.3,16838381.5,25142346.0,33615289.0,41884297.200000025,4151915.625,7985,0.9858024691358025,138084.375,8921915.9325,9060000.3075,0.112041706820033,0.026194129025021606,0.03,21132.641562032797,0.12858819961547852
Interest Only,6300000,20,30,5040000.0,0.8214285714285714,29158537.97,15216732.443940494,11106758.9,18892161.5,27401815.5,38658610.25,48630567.60000003,4088495.625,7832,0.9669135802469135,355254.375,10066515.8525,10421770.2275,0.11899503704083902,0.027886184387886592,0.05,26465.586922567363,0.12618017196655273
Principal+Interest,6300000,20,30,5040000.0,0.8214285714285714,27725290.58,19321434.674243506,11875699.700000001,17119023.25,23368713.0,32043475.25,44276932.400000006,3914370.0,7910,0.9765432098765432,225630.0,9408730.385,9634360.385,0.11593418525721733,0.02712219830839291,0.02,9035.92756205853,0.1356801986694336
Interest Only,6300000,25,25,5040000.0,0.8511904761904762,45322393.18,25313959.32195833,20348409.900000002,26855191.75,40036965.0,58148826.0,81766601.40000004,4543915.3125,9183,0.9092079207920792,1292022.1875,17907010.74625,19199032.93375,0.1136237175745809,0.02694556037910356,0.03,19897.55498995842,0.16655707359313965
Principal+Interest,6300000,25,25,5040000.0,0.8511904761904762,44520526.01,28930647.015751127,17297010.5,26645003.0,38160126.0,52526348.75,79131619.8,4396713.75,9327,0.9234653465346535,965786.25,17549240.185,18515026.435,0.11279947653925171,0.026662854553698434,0.01,1390.3479205461822,0.16087770462036133
Interest Only,6300000,25,30,5040000.0,0.8214285714285714,47304797.03,30934072.40706674,16783047.6,26613888.25,43483474.5,59828339.0,78074124.30000003,4167830.625,9047,0.8957425742574258,1480606.875,19058559.3425,20539166.2175,0.11737029111485064,0.027815774367426993,0.01,3544.2367141602513,0.17182469367980957
Principal+Interest,6300000,25,30,5040000.0,0.8214285714285714,40475891.29,23088287.888022937,15972242.0,23312340.0,37729224.0,51386695.25,64517761.0,4182952.5,9285,0.9193069306930693,992047.5,15659283.395,16651330.895,0.10991415347053102,0.025986826610064462,0.03,14490.01183746612,0.16607213020324707
Interest Only,6300000,30,30,5040000.0,0.8214285714285714,69372846.03,43821933.2462105,28422133.0,40261885.5,59995146.5,78436419.25,130349148.00000004,3774013.59375,9906,0.8186776859504132,3116611.40625,30286300.663125,33402912.069375,0.11186116315975903,0.026743056546327137,0.01,1470.337812511765,0.21953320503234863
Principal+Interest,6300000,30,30,5040000.0,0.8214285714285714,65858343.83,49828729.301940724,26268539.2,35117175.0,51505019.0,79938031.0,121713327.80000001,3809317.5,10137,0.8377685950413223,2400682.5,28504513.165,30905195.665,0.10983910917399808,0.026182218688315162,0.0,0.0,0.19602584838867188
Interest Only,6400000,10,10,5120000.0,0.94140625,12093553.18,4203055.732025777,7826306.600000001,8980978.5,11299433.0,13697705.25,17950637.000000004,2486875.0,4100,1.0,0.0,2301739.575,2301739.575,0.11562270998190005,0.02671045543853423,0.09,60185.741575022876,0.06838607788085938
Principal+Interest,6400000,10,10,5120000.0,0.94140625,12097086.82,4610897.551883722,6994962.7,8897678.75,11766919.5,13915616.25,17836051.300000004,2410000.0,4100,1.0,0.0,2381150.2,2381150.2,0.11626386018661816,0.026860183402038773,0.12,103280.51360011395,0.06630301475524902
Interest Only,6400000,10,15,5120000.0,0.912109375,12482064.95,5050607.067742953,6946392.9,9715095.75,11475319.0,14618438.25,18626854.3,2411875.0,4100,1.0,0.0,2572897.405,2572897.405,0.12418109942195987,0.028658478946698818,0.12,93572.90645282969,0.06851625442504883
Principal+Interest,6400000,10,15,5120000.0,0.912109375,11038832.74,4852848.927762111,6525366.3,7451758.25,9482185.5,13121175.25,18206809.5,2335000.0,4100,1.0,0.0,1932304.565,1932304.565,0.10755707989305652,0.02477217294723344,0.17,128576.55451816117,0.06516289710998535
Interest Only,6400000,10,20,5120000.0,0.8828125,11392765.89,4486069.7042375095,6426128.0,8441809.25,10425553.5,13253952.5,17766510.400000002,2336875.0,4100,1.0,0.0,2091989.055,2091989.055,0.11550228022534514,0.026600440645746515,0.14,101749.19203171144,0.0659639835357666
Principal+Interest,6400000,10,20,5120000.0,0.8828125,11684003.97,5715572.725754645,6329002.4,7789843.0,11086083.5,13315962.5,17338331.00000001,2259435.0,4099,0.9997560975609756,565.0,2281156.42,2281721.42,0.11941403914133586,0.02751530926617396,0.15,109863.677000429,0.0703732967376709
Interest Only,6400000,10,25,5120000.0,0.853515625,10473309.89,3687904.9610672267,5942322.3,7995627.75,10179057.5,12372487.0,14943833.100000015,2261875.0,4100,1.0,0.0,1678502.715,1678502.715,0.1076842042819568,0.024727270072296692,0.15,93346.50463293109,0.06544303894042969
Principal+Interest,6400000,10,25,5120000.0,0.853515625,10951906.8,4205376.431982977,5985722.2,7980432.75,10605111.5,13527874.5,15990571.3,2185000.0,4100,1.0,0.0,1982200.6,1982200.6,0.11461658938904407,0.026355409130193186,0.18,111905.86694893926,0.06686210632324219
