ltv,lending_margin,additional_margin,annual_income_pct,annual_income,insurance_cost_pa,loan_amount,reinvest_fraction,total_cost_of_funds,mean_reinvestment,mean_cagr,xirr,prob_insurance_payout,mean_funder_earned
0.4,0.06,0.01,0.015,30000.0,0.02,800000.0,0.25,0.11,-255047.32,nan,nan,1.0,20029.375
0.4,0.06,0.01,0.015,30000.0,0.025,800000.0,0.25,0.11,-865215.83,nan,nan,1.0,54876.25
0.4,0.06,0.01,0.015,30000.0,0.03,800000.0,0.25,0.11,-1178537.42,nan,nan,1.0,72736.25
0.4,0.06,0.015,0.01,20000.0,0.01,800000.0,0.5,0.115,479922.4,0.009954774167046487,0.005926889567171578,0.94,560493.75
0.4,0.06,0.015,0.01,20000.0,0.015,800000.0,0.5,0.115,352168.82,-0.006347463409660414,0.000739624438634845,1.0,478637.5
0.4,0.06,0.015,0.01,20000.0,0.02,800000.0,0.5,0.115,270519.74,-0.01936599613531509,-0.00585903159822887,1.0,360616.25
0.4,0.06,0.015,0.01,20000.0,0.025,800000.0,0.5,0.115,180977.3,-0.038878691937189847,-0.015209920454642645,1.0,268045.0
0.4,0.06,0.015,0.01,20000.0,0.03,800000.0,0.5,0.115,101058.33,-0.06647574512431698,-0.03407048425933701,1.0,142031.25
0.4,0.06,0.015,0.015,30000.0,0.01,800000.0,0.25,0.115,130315.92,-0.021190053482847082,-0.03749968985654328,1.0,168791.25
0.4,0.06,0.015,0.015,30000.0,0.015,800000.0,0.25,0.115,44503.38,-0.07238417283787701,-0.12195224533555526,1.0,69865.0
0.4,0.06,0.015,0.015,30000.0,0.02,800000.0,0.25,0.115,-230364.05,nan,nan,1.0,19529.375
0.4,0.06,0.015,0.015,30000.0,0.025,800000.0,0.25,0.115,-910275.16,nan,nan,1.0,49135.0
0.4,0.06,0.015,0.015,30000.0,0.03,800000.0,0.25,0.115,-1502714.08,nan,nan,1.0,72320.625
0.4,0.06,0.02,0.01,20000.0,0.01,800000.0,0.5,0.12000000000000001,430926.7,0.003730614429705348,0.004648168627078952,0.98,557412.5
0.4,0.06,0.02,0.01,20000.0,0.015,800000.0,0.5,0.12000000000000001,338448.69,-0.008319799635611358,0.00016832990818538285,1.0,472232.5
0.4,0.06,0.02,0.01,20000.0,0.02,800000.0,0.5,0.12000000000000001,265772.95,-0.02023360552024811,-0.006237905599847604,1.0,355925.0
0.4,0.06,0.02,0.01,20000.0,0.025,800000.0,0.5,0.12000000000000001,180913.79,-0.03889555896734731,-0.014821104366447901,1.0,266003.75
0.4,0.06,0.02,0.01,20000.0,0.03,800000.0,0.5,0.12000000000000001,97765.08,-0.06802086739133206,-0.03513695756635271,1.0,141041.25
0.4,0.06,0.02,0.015,30000.0,0.01,800000.0,0.25,0.12000000000000001,126847.22,-0.022509494115160678,-0.03790190951627148,1.0,170015.625
