loan_type,house_value,loan_duration,annuity_duration,loan_amount,reinvest_fraction,mean_reinvestment,std_reinvestment,p10_reinvestment,p25_reinvestment,p50_reinvestment,p75_reinvestment,p90_reinvestment,mean_deficit,total_holiday_quarters,pct_quarters_holiday,mean_funder_earned,mean_funder_profit_share,mean_net_position,mean_cagr,xirr,prob_insurance_payout,mean_insurance_payout_npv,simulation_time_sec
Interest Only,1100000,10,30,880000.0,0.4375,385325.73663781513,170134.47844187502,203502.77176312523,264082.2510059281,354879.0649653871,469409.9550884338,602650.3670237411,457600.0,400000.0,1.0,0.0,51.877820218489205,51.877820218489205,9.803841421374138e-05,,0.9801,310829.74117493315,0.3600449562072754
Principal+Interest,1100000,10,30,880000.0,0.4375,-1890188.4920965387,720598.408114399,-2842129.4283426367,-2274555.1971877185,-1766110.829720029,-1366956.0444537294,-1101420.9956877355,457600.0,400000.0,1.0,0.0,0.0,0.0,nan,,1.0,1846173.9862398913,0.3305642604827881
Interest Only,1100000,15,15,880000.0,0.71875,1288261.4567466218,686519.6774114592,592697.8868536698,804139.463997592,1141724.0976545666,1593109.2396597199,2166174.0577346208,686400.0,600000.0,1.0,0.0,81473.53764120392,81473.53764120392,0.05286268704669439,,0.612,151977.2336154947,0.458446741104126
Principal+Interest,1100000,15,15,880000.0,0.71875,-2377322.1379356543,1119284.5896187797,-3851379.595998538,-2915388.4739763048,-2148981.6753754355,-1582767.3612671727,-1195500.224100857,686400.0,600000.0,1.0,0.0,0.0,0.0,nan,,1.0,2052380.9473386402,0.4952089786529541
Interest Only,1100000,15,20,880000.0,0.625,917690.5731035572,506863.8629346358,407270.94102795195,562408.9524678428,808409.7456559988,1139095.1529555887,1561475.1630050724,686400.0,600000.0,1.0,0.0,23140.938297994155,23140.938297994155,0.03643788090716282,,0.7978,229156.11629585174,0.4923720359802246
Principal+Interest,1100000,15,20,880000.0,0.625,-2747893.021578727,1289495.589611433,-4446339.264988384,-3356316.350576819,-2494014.2471310534,-1831113.2642209337,-1387603.7081211184,686400.0,600000.0,1.0,0.0,0.0,0.0,nan,,1.0,2212336.483290882,0.4880368709564209
Interest Only,1100000,15,25,880000.0,0.53125,547119.6894604957,331233.0042458656,218897.34803817645,319329.6692760741,473422.32795105444,689050.003593441,961107.2566440736,686400.0,600000.0,1.0,0.0,2713.813443808474,2713.813443808474,0.010873097883340677,,0.9478,346435.9982724898,0.6094479560852051
Principal+Interest,1100000,15,25,880000.0,0.53125,-3118463.905221791,1462874.6966755025,-5037349.249114147,-3815955.0023727156,-2827568.5584362824,-2081113.9643370202,-1579664.8596813208,686400.0,600000.0,1.0,0.0,0.0,0.0,nan,,1.0,2372292.019243123,0.4955098628997803
Interest Only,1100000,15,30,880000.0,0.4375,176548.80581743203,172401.4214886146,8247.652056148872,65332.19863748978,142544.52412416792,248912.48266932898,389276.8869900651,686400.0,600000.0,1.0,0.0,91.23314987728082,91.23314987728082,-0.05061602938378906,,0.9976,497218.98814426194,0.49890589714050293
Principal+Interest,1100000,15,30,880000.0,0.4375,-3489034.7888648394,1638416.4611588744,-5625688.663740548,-4272004.991680599,-3165035.6674014456,-2326681.554877879,-1762758.4958449036,686400.0,600000.0,1.0,0.0,0.0,0.0,nan,,1.0,2532247.5551953507,0.49465227127075195
Interest Only,1100000,20,20,880000.0,0.625,827627.9835005566,660132.4294233487,230486.3968055582,387709.7766746453,666622.6583947286,1078142.3927111821,1596564.6979541695,915200.0,800000.0,1.0,0.0,26250.633492742963,26250.633492742963,0.022237179304029686,,0.8739,329407.0567907189,0.6251921653747559
Principal+Interest,1100000,20,20,880000.0,0.625,-5079456.20693986,2819966.614900663,-8593864.922341462,-6274388.34201389,-4461244.060748358,-3122494.7026460236,-2272504.9853080935,915200.0,800000.0,1.0,0.0,0.0,0.0,nan,,1.0,2986895.660222619,0.6690819263458252
Interest Only,1100000,20,25,880000.0,0.53125,215562.78092332225,375757.96892904834,-133038.28293741937,-474.660000045358,149086.57172540628,354355.2871235199,639635.8509222001,915200.0,800000.0,1.0,0.0,1694.536692341415,1694.536692341415,-0.03759107927052774,,0.987,535891.8405894149,0.9237470626831055
Principal+Interest,1100000,20,25,880000.0,0.53125,-5691521.409517097,3161972.271505793,-9645319.435000325,-7041737.753981354,-5011240.999077316,-3491297.392033052,-2544132.7564180344,915200.0,800000.0,1.0,0.0,0.0,0.0,nan,,1.0,3228582.305841301,0.6649651527404785
Interest Only,1100000,20,30,880000.0,0.4375,-396502.4216539128,324485.978522723,-800273.1036899621,-540031.2119789578,-336296.4732372213,-189400.78081273468,-81828.56148007418,915200.0,800000.0,1.0,0.0,45.75614429137392,45.75614429137392,nan,,0.9998,774439.7841525669,0.6675760746002197
